[674.94547413 471.39270032],[677.39957243 566.93291227]
[428.64400706 309.17104583],[386.08143453 832.78746487]
[568.73123486 317.69904165],[819.54086424  87.73142427]
[587.91137997 684.63648729],[165.20828172 895.98070486]
[393.83455962 431.55153316],[831.03840832 927.91940806]
[452.37855201 583.03104296],[  2.99149901 765.90738383]
[413.66474838 486.94585329],[506.6250093  749.22093558]
[447.69123674 474.87230756],[368.31849888 793.78285696]
[629.12747284 403.57951468],[423.70623058 536.83864594]
[507.17597742 527.16062962],[664.98055765 706.04669878]
[585.86671739 373.5926321 ],[971.55978246 624.61837484]
[611.4870285  543.47769867],[616.06405117 134.49216881]
[587.42727658 507.16521003],[882.98948905 700.06061928]
[336.09483733 435.26973687],[422.06342434  75.882364  ]
[581.77695663 503.6794754 ],[210.11295551  61.99913916]
[495.12974576 679.15310966],[950.80408753 755.32789902]
[720.18563138 496.29330956],[319.82095477 193.97133788]
[693.29054285 300.64284687],[518.22476966 929.38034711]
[295.09427395 586.70552083],[499.1820511  806.32856996]
[473.80389268 557.89711071],[956.89134799 614.73354008]
[551.65523855 491.05963595],[ 29.15331621 339.0967827 ]
[568.21297105 515.07220092],[559.61256584 280.05466542]
[346.78574777 521.88685774],[901.41067967 526.84873086]
[518.56632544 683.27765368],[141.88933001 737.94250134]
[387.11055987 501.69968808],[435.23710466 440.45230534]
[457.55711751 486.70901009],[346.10068741 143.89746242]
[665.92046177 537.86406842],[142.06094587 484.41748132]
[453.54339375 515.3841245 ],[921.10029339 428.81189005]
[576.61606204 400.59723068],[626.92625327 527.7444599 ]
[473.56576712 654.22092203],[ 44.78253272 510.6614315 ]
[585.61520457 495.5197383 ],[755.12721578 762.1472403 ]
[452.2510771  484.59344756],[277.94757977 350.9261752 ]
[344.89205388 594.30359811],[446.52087496 230.41036999]
[534.11534385 513.82732173],[486.29853017 628.0351458 ]
[370.25773825 428.50375558],[226.71980337 516.41199233]
[551.44796333 525.77163811],[159.24683003 909.17054023]
[450.32695227 550.50219168],[776.78586365 106.22578804]
[593.87831252 432.49797253],[774.54435106 382.82394851]
[446.91417599 413.01380565],[846.20116163 132.83857802]
[384.47357752 579.66718469],[736.74499346 922.40101125]
[551.00280218 533.87139365],[948.98687024 917.05700035]
[382.78799655 395.40323453],[667.7078704  928.83270708]
[493.23314357 458.67902466],[639.36166706 744.84379164]
[512.00827996 430.10283137],[764.50736369 509.71808963]
[565.40248821 679.94800741],[435.40126689 657.905397  ]
[654.66060951 660.98739849],[190.39044633 203.24679196]
[507.10197803 592.15752314],[628.86085622   7.6153896 ]
[462.31701574 591.99825431],[956.46966285 561.17014285]
[462.15774457 451.10245648],[115.0470669  787.77446881]
[435.5606183  569.91408369],[447.97068109 645.04964175]
[527.54066575 518.63253407],[611.08763572 399.75664849]
[386.01943478 514.18048905],[715.72913237 140.25335433]
[355.92806464 647.65128242],[567.18029433 683.38498762]
[486.84465167 519.44292017],[470.61427375 796.53293079]
[489.48507468 341.60374209],[744.43897713 819.93207273]
[362.82263144 497.16816618],[145.26260035 402.22393417]
[649.24714994 388.47627839],[546.75037771 535.96877447]
[429.45859741 495.27674255],[565.92126883 208.57109418]
[331.27193925 330.26578848],[102.90706687 339.90932344]
[458.85460577 495.47248569],[640.85442739 697.08820271]
[460.88268673 653.42223499],[129.40407466 948.91644341]
[483.58070527 536.03666532],[875.5566422  963.44440762]
[659.80499008 670.37218231],[701.30987209 264.80691746]
[341.04801059 462.27534831],[134.90699122 931.10706466]
[616.25055096 362.11412927],[ 24.68246575 680.8400371 ]
[407.60043202 370.24866101],[345.99141195 308.55647158]
[363.80657721 386.58146299],[249.61603735 555.24780824]
[517.68427518 626.89255155],[929.04045666 170.4168517 ]
[652.8022877  501.18879834],[555.04533111 802.44159681]
[302.94281134 494.33674148],[460.14844624 718.23062054]
[466.07975849 535.23211225],[319.64999486 321.15124   ]
[487.15868878 320.38869043],[653.36906322 461.70578869]
[541.3283446  293.21645633],[493.59563507 196.50544729]
[430.98887857 531.17507136],[914.05665948 955.63364455]
[535.03665669 657.1348006 ],[106.38531033 481.61160157]
[263.75864069 533.9984209 ],[119.4033609 150.0555536]
[568.93803455 467.27858633],[604.30304626 258.34821121]
[563.80315244 389.80013691],[216.16209248 152.45740033]
[565.70275801 553.82152468],[291.95803252 574.41036508]
[401.83703463 433.33601868],[499.74223745 749.12698589]
[481.01760642 434.39146466],[848.33357038 418.08526216]
[604.43970822 517.51674659],[929.52939856  73.44438294]
[631.47333313 617.52495668],[987.57066339 624.24032186]
[506.08470118 480.6895421 ],[  9.24580645 439.46011218]
[405.33443449 419.53893755],[223.96218135 934.71884772]
[419.88088819 534.78505379],[693.69923465 440.59331572]
[411.63341846 507.86582817],[426.79111577 177.17215455]
[519.25891282 450.37656901],[850.21005375 963.83126767]
[481.37754556 644.53699084],[ 43.3918641  697.51740146]
[661.19815202 421.73669754],[794.36014769 712.35217683]
[480.53865559 462.78679525],[267.07021327 583.51133013]
[472.42334547 653.51378359],[159.10277468 216.17147948]
[568.64546384 625.99157159],[661.86705092 648.75957698]
[677.68794881 455.96864999],[629.66293359 782.86606338]
[481.27927298 504.04065826],[692.57558488 586.06117377]
[602.6036481  490.90021929],[782.52364652 252.63610798]
[564.57863259 616.8308637 ],[ 73.23329105 129.17356164]
[616.3230321  544.66788914],[322.50422629 442.5823557 ]
[421.12845721 344.58979019],[460.27252843 248.60190071]
[612.16330814 545.65999372],[40.14579073 24.19072635]
[406.25241182 449.4923822 ],[826.25280104 823.09042212]
[455.11995011 332.50509988],[834.89712034 428.03866368]
[525.15460937 421.29608611],[193.09218282 848.2193921 ]
[470.55932668 573.97007056],[271.91768055 125.08266245]
[490.43640947 554.30531953],[356.39652907 143.12568477]
[542.23852387 503.1669127 ],[788.47511219 334.56265712]
[504.88309762 686.16133563],[703.61468441  83.16274401]
[482.93241074 662.76720445],[749.32422894 681.84441956]
[408.59992969 572.94006922],[682.21829499 845.55310083]
[517.09054275 427.07455635],[852.02975553 384.77431636]
[235.25354744 659.49247147],[180.49016959  78.00529517]
[384.47959523 403.69459491],[192.24023669 859.75829348]
[512.96300123 505.71391433],[767.69091071 730.46141468]
[527.87961144 474.59218577],[828.9376987  319.80298384]
[350.03841718 586.7012621 ],[973.74652258 114.88785836]
[409.53132183 522.3289986 ],[512.65346025 965.34730087]
[557.44411328 618.22252275],[592.17003725 829.12292486]
[478.20965894 469.45609408],[600.17164919 954.96081858]
[476.66880814 315.14148106],[854.56965129 954.75841973]
[424.5183642  399.56159608],[634.79835968 717.14471143]
[385.0136957  516.76933905],[947.09123954  99.4786622 ]
[468.85117454 659.62650397],[484.22250945 980.68624269]
[648.89588817 311.75511664],[921.35079174 835.67280857]
[512.25792162 399.88355185],[290.80148997   0.50846383]
[555.61905346 515.81197547],[660.46656566 576.90223456]
[593.05168353 531.08328132],[632.31515665 543.89268232]
[576.12064864 470.1429398 ],[195.10306841  26.95400982]
[249.19067221 381.49171677],[555.97246761 337.48303827]
[414.50679354 450.98504474],[439.09253339 728.00883356]
[398.78375535 663.31813663],[496.00012858 806.77391429]
[483.18435773 629.60508648],[200.89444107 536.60939219]
[466.17268056 665.42691098],[935.34516055 839.63898218]
[379.97232572 559.96606398],[591.75489481 680.89126965]
[367.00358037 544.2057669 ],[904.11251059 602.83436356]
[658.67044484 336.60054195],[571.40878134 355.92808655]
[412.80224019 524.52447857],[766.44530081 453.91465986]
[481.40721236 363.09559992],[453.24404937 803.73694596]
[615.66889631 505.23149302],[627.93619057 984.49358121]
[629.35507886 531.86222563],[460.63801811  32.24696428]
[384.66016954 451.87580634],[297.33334563  86.30852294]
[638.20987236 361.41417459],[689.85316635 646.55485971]
[453.42028397 560.06247235],[928.55508686 145.53798957]
[601.50264673 582.73610894],[594.22941223  82.27264585]
[352.57973165 708.63777198],[272.59198953 926.21706278]
[483.53324787 501.22356537],[402.65571678 459.9268182 ]
[499.69909209 476.80491564],[321.81186768 101.83264764]
[403.29018531 467.30397205],[  2.96443487 338.58028431]
[632.23417591 363.78544993],[138.49751306 693.86701438]
[256.77458933 553.49728872],[456.49558887 290.97775585]
[533.76592166 572.7863204 ],[216.51615115 985.37773196]
[672.71905512 427.47090452],[967.25085338 896.18006275]
[517.71621843 550.25693315],[759.79766146  43.93786023]
[623.16241802 602.59229205],[ 43.83574985 497.8665406 ]
[415.6991293  362.24962436],[754.81860711 128.13751037]
[472.73199999 338.71307618],[350.87601236 251.98066305]
[610.95451162 460.52104978],[569.05168181 802.34822206]
[464.38880253 411.00049035],[491.47349671 984.2613423 ]
[652.3543021  528.78543037],[462.09019619 183.98349141]
[458.76610838 561.14326014],[529.04021655 297.92934483]
[491.45241075 559.34978736],[546.65700525 774.80552163]
[631.88113625 473.5115738 ],[456.03010578 576.49457893]
[551.21361703 547.78856294],[127.19353362 727.14500795]
