[424.94547413 471.39270032],[606.20323126 664.24271082]
[337.91137997 684.63648729],[400.32092289 873.54274951]
[143.83455962 431.55153316],[ 93.48792949 136.81390137]
[202.37855201 583.03104296],[707.83681434 572.06020919]
[163.66474838 486.94585329],[410.45594358 132.43233028]
[197.69123674 474.87230756],[872.14494669 719.42538789]
[379.12747284 403.57951468],[938.11157236 289.94001568]
[257.17597742 527.16062962],[896.50025946 331.95711561]
[335.86671739 373.5926321 ],[927.61839699 855.28428088]
[361.4870285  543.47769867],[673.85475905 158.57588208]
[337.42727658 507.16521003],[417.25301427 437.26445753]
[ 86.09483733 435.26973687],[585.18223926 406.46062577]
[331.77695663 503.6794754 ],[916.53141264  26.49323694]
[245.12974576 679.15310966],[315.00882938 696.2237408 ]
[470.18563138 496.29330956],[837.34768117 318.09363664]
[443.29054285 300.64284687],[358.5495602  797.58707858]
[ 45.09427395 586.70552083],[368.58700738 291.35804323]
[223.80389268 557.89711071],[172.5051273  992.46655624]
[301.65523855 491.05963595],[261.90198643 378.9443426 ]
[318.21297105 515.07220092],[298.44667964 876.0217895 ]
[ 96.78574777 521.88685774],[393.74058179 870.37548952]
[268.56632544 683.27765368],[492.9231256  309.25644101]
[137.11055987 501.69968808],[ 62.82053485 666.30643923]
[207.55711751 486.70901009],[984.51590594 111.24300667]
[415.92046177 537.86406842],[451.08878042 696.28257625]
[203.54339375 515.3841245 ],[839.45214132 625.18346627]
[326.61606204 400.59723068],[447.62770225 921.58718727]
[223.56576712 654.22092203],[ 50.37443556 186.34465041]
[335.61520457 495.5197383 ],[  1.92407261 382.02275431]
[202.2510771  484.59344756],[112.3161606  113.97776902]
[ 94.89205388 594.30359811],[517.42128384 285.88934785]
[284.11534385 513.82732173],[957.99813962 301.07907813]
[120.25773825 428.50375558],[ 52.3963955  741.78161447]
[301.44796333 525.77163811],[215.47943628 769.42319083]
[200.32695227 550.50219168],[812.48091724 501.26677719]
[343.87831252 432.49797253],[180.38028962 331.21161255]
[196.91417599 413.01380565],[596.48055272 170.8819906 ]
[134.47357752 579.66718469],[ 45.01136055 299.57800946]
[301.00280218 533.87139365],[461.63273515 394.855544  ]
[132.78799655 395.40323453],[218.87873964 141.22096879]
[243.23314357 458.67902466],[359.00205064 423.02699678]
[262.00827996 430.10283137],[352.4114542  380.37751284]
[315.40248821 679.94800741],[450.98328348 494.30668067]
[404.66060951 660.98739849],[531.80292071 989.00013138]
[257.10197803 592.15752314],[372.07081541 299.45883354]
[212.31701574 591.99825431],[543.32996513 345.52667567]
[212.15774457 451.10245648],[ 76.2722142  959.40185343]
[185.5606183  569.91408369],[735.57477573 980.85229769]
[277.54066575 518.63253407],[871.96180868 705.07648514]
[136.01943478 514.18048905],[198.36027361 704.64201471]
[105.92806464 647.65128242],[272.21873175 832.41330171]
[236.84465167 519.44292017],[610.34430979  98.70857008]
[239.48507468 341.60374209],[540.53300218 544.57347695]
[112.82263144 497.16816618],[783.02795905 443.09000937]
[399.24714994 388.47627839],[519.31133518 877.13838303]
[179.45859741 495.27674255],[560.30784458 166.32759919]
[ 81.27193925 330.26578848],[381.83856464 260.86217191]
[208.85460577 495.47248569],[614.74914755 798.4588742 ]
[210.88268673 653.42223499],[682.98536824 549.86585513]
[233.58070527 536.03666532],[852.90613875  39.44938679]
[909.80499008 670.37218231],[246.62062434 950.45804085]
[591.04801059 462.27534831],[873.94438949 207.5446337 ]
[866.25055096 362.11412927],[ 38.51834147 582.17112451]
[657.60043202 370.24866101],[ 44.13608304 474.31876335]
[613.80657721 386.58146299],[ 17.77470159 520.97990018]
[767.68427518 626.89255155],[427.36687583 534.66876707]
[902.8022877  501.18879834],[496.74613851 124.70613546]
[552.94281134 494.33674148],[887.55905034 898.96499627]
[716.07975849 535.23211225],[735.05164544 114.93260965]
[737.15868878 320.38869043],[590.21664021 577.12122461]
[791.3283446  293.21645633],[865.00781298 332.72448143]
[680.98887857 531.17507136],[109.32375555 803.26610109]
[785.03665669 657.1348006 ],[417.20102454 822.81195239]
[513.75864069 533.9984209 ],[951.71584281 405.63706128]
[818.93803455 467.27858633],[880.06403185  56.23102895]
[813.80315244 389.80013691],[916.20679938 488.22675095]
[815.70275801 553.82152468],[538.22950643 250.06942652]
[651.83703463 433.33601868],[687.79314642  76.41344708]
[731.01760642 434.39146466],[401.96243909 264.57083638]
[854.43970822 517.51674659],[335.29719582 629.63833282]
[881.47333313 617.52495668],[474.10735671 879.36465712]
[756.08470118 480.6895421 ],[170.60245699 268.60981371]
[655.33443449 419.53893755],[105.03033787  10.63528678]
[669.88088819 534.78505379],[791.04509392 312.87469142]
[661.63341846 507.86582817],[174.31619319 192.18896612]
[769.25891282 450.37656901],[274.29161924 715.85401202]
[731.37754556 644.53699084],[390.53156557  77.47015353]
[911.19815202 421.73669754],[667.54923623 753.54350195]
[730.53865559 462.78679525],[864.56054193 899.34029459]
[722.42334547 653.51378359],[845.19326205  40.90404441]
[818.64546384 625.99157159],[732.93670779 179.79534896]
[927.68794881 455.96864999],[940.14642103  93.22083155]
[731.27927298 504.04065826],[519.71279378 804.79103847]
[852.6036481  490.90021929],[725.39293052 563.32542389]
[814.57863259 616.8308637 ],[112.31142741 603.59744399]
[866.3230321  544.66788914],[984.69653863 734.54883618]
[671.12845721 344.58979019],[614.49053031  67.39248089]
[862.16330814 545.65999372],[224.62268532 527.68740862]
[656.25241182 449.4923822 ],[622.95937843 429.0531366 ]
[705.11995011 332.50509988],[396.19535414 937.80445384]
[775.15460937 421.29608611],[ 15.05011892 241.82854258]
[720.55932668 573.97007056],[418.09803689 421.44054677]
[740.43640947 554.30531953],[370.45529007 236.70423869]
[792.23852387 503.1669127 ],[382.95526181 280.95818271]
[754.88309762 686.16133563],[336.20312012 211.57399497]
[732.93241074 662.76720445],[ 10.35213912 362.04779489]
[658.59992969 572.94006922],[922.38157792 291.72291107]
[767.09054275 427.07455635],[757.30352717 886.78454759]
[485.25354744 659.49247147],[450.3830624 611.1232957]
[634.47959523 403.69459491],[ 91.60141454 799.8041346 ]
[762.96300123 505.71391433],[443.25958222 796.60590866]
[777.87961144 474.59218577],[ 55.28147222 959.63398237]
[600.03841718 586.7012621 ],[652.61914993 641.13113004]
[659.53132183 522.3289986 ],[ 26.52916516 232.91467205]
[807.44411328 618.22252275],[617.9192815  565.00979537]
[728.20965894 469.45609408],[158.38510852 386.10535209]
[726.66880814 315.14148106],[ 43.07600498 725.92008165]
[674.5183642  399.56159608],[988.36489784 974.23249071]
[635.0136957  516.76933905],[854.91556449 435.62736295]
[718.85117454 659.62650397],[523.85288235 151.62134387]
[898.89588817 311.75511664],[ 22.10605785 884.64021011]
[762.25792162 399.88355185],[523.39103903 885.85680051]
[805.61905346 515.81197547],[536.39916014 977.48600085]
[843.05168353 531.08328132],[945.27033955 816.14397218]
[826.12064864 470.1429398 ],[501.74603753 563.19995822]
[499.19067221 381.49171677],[549.2885647 917.5608944]
[664.50679354 450.98504474],[304.33769366 860.40159968]
[648.78375535 663.31813663],[368.12673295   2.09826381]
[733.18435773 629.60508648],[683.10124596 844.54469171]
[716.17268056 665.42691098],[695.27743667 244.39917748]
[629.97232572 559.96606398],[862.93779858 950.70736611]
[617.00358037 544.2057669 ],[702.51495744 648.94898227]
[908.67044484 336.60054195],[ 52.80203615 979.01076666]
[662.80224019 524.52447857],[400.47193137 536.60117978]
[731.40721236 363.09559992],[263.01279574 946.2236132 ]
[865.66889631 505.23149302],[237.80497553 920.09549676]
[879.35507886 531.86222563],[739.89477426 898.03743094]
[634.66016954 451.87580634],[748.80079387 292.94656835]
[888.20987236 361.41417459],[688.57273993 325.6008072 ]
[703.42028397 560.06247235],[532.84402246 966.48914349]
[851.50264673 582.73610894],[ 15.24613806 848.74072841]
[602.57973165 708.63777198],[284.87526322 979.45103863]
[733.53324787 501.22356537],[973.52119379 811.07866213]
[749.69909209 476.80491564],[783.41793802 845.9967869 ]
[653.29018531 467.30397205],[240.24978874 192.51056651]
[882.23417591 363.78544993],[732.4644219  915.78639358]
[506.77458933 553.49728872],[752.18637976  83.31547042]
[783.76592166 572.7863204 ],[858.84494209 660.04370476]
[922.71905512 427.47090452],[ 99.67072837 799.04181631]
[767.71621843 550.25693315],[772.73279937 226.52597076]
[873.16241802 602.59229205],[377.8208603   27.67992675]
[665.6991293  362.24962436],[ 65.67375373 120.12374282]
[722.73199999 338.71307618],[535.58992901 111.35673313]
[860.95451162 460.52104978],[ 61.99460095 366.2787304 ]
[714.38880253 411.00049035],[925.61019182 391.16450546]
[902.3543021  528.78543037],[738.33501206 327.02618511]
[708.76610838 561.14326014],[737.67375961 392.96143056]
[741.45241075 559.34978736],[454.59676106 323.7380588 ]
[881.88113625 473.5115738 ],[352.56929582 592.05620311]
[801.21361703 547.78856294],[381.93468598 873.94010962]
