[424.94547413 221.39270032],[840.21086945 462.92971602]
[651.83703463 683.33601868],[ 21.29626731 780.64415774]
[731.01760642 684.39146466],[153.07474687 608.68487897]
[854.43970822 767.51674659],[883.96960393 584.01977132]
[881.47333313 867.52495668],[312.11103398 548.90095822]
[756.08470118 730.6895421 ],[941.4038295  841.06069903]
[655.33443449 669.53893755],[546.4344262  227.14504521]
[669.88088819 784.78505379],[517.81557157 306.18798909]
[661.63341846 757.86582817],[319.75718474 679.96124733]
[769.25891282 700.37656901],[409.94922227 217.0661932 ]
[731.37754556 894.53699084],[130.3876794  544.71181488]
[911.19815202 671.73669754],[341.62653939 666.94183679]
[730.53865559 712.78679525],[534.15232722 487.7495413 ]
[722.42334547 903.51378359],[366.40714532 360.66861716]
[818.64546384 875.99157159],[318.21534521 510.5713958 ]
[927.68794881 705.96864999],[690.4247336  665.06992402]
[731.27927298 754.04065826],[253.80110688 776.83451004]
[852.6036481  740.90021929],[208.20480721 442.31805539]
[814.57863259 866.8308637 ],[577.0023447  384.59166586]
[866.3230321  794.66788914],[ 85.03604366 710.10146512]
[671.12845721 594.58979019],[243.67273355 739.37957893]
[862.16330814 795.65999372],[694.67524773   6.50153982]
[656.25241182 699.4923822 ],[714.49217142  12.50149703]
[705.11995011 582.50509988],[368.35742712 811.01825949]
[775.15460937 671.29608611],[878.07271966 769.42347447]
[720.55932668 823.97007056],[224.99419532 842.97047737]
[740.43640947 804.30531953],[912.24841229 696.46935349]
[792.23852387 753.1669127 ],[875.4498975  373.18832651]
[754.88309762 936.16133563],[423.58314061 226.99390616]
[732.93241074 912.76720445],[178.42844331 275.02453854]
[658.59992969 822.94006922],[670.71973004 709.86109737]
[767.09054275 677.07455635],[115.50882935 717.62254078]
[485.25354744 909.49247147],[358.29578607 434.6497515 ]
[634.47959523 653.69459491],[448.56337222 577.95053708]
[262.96300123 755.71391433],[307.23224307 936.97668127]
[277.87961144 724.59218577],[786.47704692 439.33814814]
[100.03841718 836.7012621 ],[347.23849497 475.25053237]
[159.53132183 772.3289986 ],[504.87715537 895.16216727]
[307.44411328 868.22252275],[118.83320149 677.93773862]
[228.20965894 719.45609408],[647.25067128 321.5889789 ]
[226.66880814 565.14148106],[872.07710338  87.03208607]
[174.5183642  649.56159608],[170.51557813  54.73322646]
[135.0136957  766.76933905],[126.6577926  613.88648223]
[218.85117454 909.62650397],[149.54791343 743.37947326]
[398.89588817 561.75511664],[755.88535186 303.21939639]
[262.25792162 649.88355185],[881.95712809  30.72064873]
[305.61905346 765.81197547],[963.24517513 116.66398345]
[343.05168353 781.08328132],[703.49524884 327.49820948]
[326.12064864 720.1429398 ],[717.87754608 849.98449785]
[ -0.80932779 631.49171677],[625.71223752 138.56299782]
[164.50679354 700.98504474],[189.98089847 835.12522085]
[148.78375535 913.31813663],[789.46026221 348.64258019]
[233.18435773 879.60508648],[343.59535394 507.63851158]
[216.17268056 915.42691098],[185.24251957 461.86751743]
[129.97232572 809.96606398],[957.34886262 832.57396821]
[117.00358037 794.2057669 ],[582.55232421 132.2703573 ]
[408.67044484 586.60054195],[489.25655919 699.39579231]
[162.80224019 774.52447857],[269.76187428 455.71097597]
[231.40721236 613.09559992],[923.02566135 876.55340552]
[365.66889631 755.23149302],[268.94427364 332.6226578 ]
[379.35507886 781.86222563],[744.54749725 242.88883325]
[134.66016954 701.87580634],[725.95487927 238.19351151]
[388.20987236 611.41417459],[181.79432012 360.63712051]
[203.42028397 810.06247235],[483.00030012 518.48782264]
[351.50264673 832.73610894],[964.03902163 402.19236946]
[102.57973165 958.63777198],[171.5702077 414.3785997]
[233.53324787 751.22356537],[979.0876507  462.69727306]
[249.69909209 726.80491564],[723.55195356 741.42560641]
[153.29018531 717.30397205],[932.78596974  17.24660919]
[382.23417591 613.78544993],[457.9902181  101.78565499]
[  6.77458933 803.49728872],[843.93813394 358.12299717]
[283.76592166 822.7863204 ],[770.76841509 823.40788066]
[422.71905512 677.47090452],[891.67172622 370.09774999]
[267.71621843 800.25693315],[798.65012078 839.86129815]
[373.16241802 852.59229205],[728.22004882 932.5956385 ]
[165.6991293  612.24962436],[344.24911988 122.59960293]
[222.73199999 588.71307618],[251.81039443 976.42084069]
[360.95451162 710.52104978],[69.00214449 98.21495977]
[214.38880253 661.00049035],[169.60576637 273.2540649 ]
[402.3543021  778.78543037],[313.77737486 100.2331308 ]
[208.76610838 811.14326014],[958.40106089 864.24358258]
[241.45241075 809.34978736],[643.27144487 945.3828516 ]
[381.88113625 723.5115738 ],[127.20684167 681.94405525]
[301.21361703 797.78856294],[234.29654151 538.37317923]
